EMPLOYEE_ID,JOB_ROLE,TEAM_SIZE,MONTHLY_EXTRA_HOURS,EXTRA_HOLIDAYS,TODO_COMPLETED,BMI_RANGE,DAILY_STEPS_IN_THOUSAND,SLEEP_HOURS,DAILY_STRESS,TIME_FOR_HOBBY,HEALTHY_MEALS_PER_WEEK,SUFFICIENT_INCOME,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
1,City Bus Driver,10,6,1,0,1,1,8,5,0,1,1,21 to 35,Female,557.9
2,City Bus Driver,0,8,5,8,2,4,8,3,5,8,2,51 or more,Female,737
3,Fleet Manager,0,10,5,5,1,10,7,2,6,10,2,21 to 35,Female,761.8
4,Logistics Coordinator,5,10,5,8,1,10,6,2,8,10,2,51 or more,Female,736.1
5,Logistics Coordinator,5,1,1,4,1,3,8,1,1,7,2,36 to 50,Male,655.2
6,Depot Driver,0,4,0,0,1,6,7,1,2,4,2,Less than 20,Female,616.5
7,Train Conductor,0,5,3,7,1,2,7,3,1,4,1,21 to 35,Female,641.2
8,Environmental and Sustainability Manager,6,6,2,5,2,5,8,2,2,9,2,Less than 20,Female,659
9,Maintenance Technician,0,10,3,7,1,8,7,4,8,7,2,21 to 35,Male,741
10,Operations Manager,0,10,1,7,1,6,6,3,2,4,2,21 to 35,Female,703
11,Intercity Bus Driver,3,3,1,7,2,5,8,1,3,3,2,21 to 35,Male,647.1
12,Environmental and Sustainability Manager,0,10,5,8,2,10,7,3,8,7,2,36 to 50,Male,738
13,Environmental and Sustainability Manager,5,5,1,14:30,1,2,8,1,6,8,2,51 or more,Female,675.4
14,City Bus Driver,0,7,0,8,1,4,8,1,4,7,2,Less than 20,Male,670.7
15,Fleet Manager,3,8,1,9,1,7,7,0,8,8,2,21 to 35,Male,752.7
16,Logistics Coordinator,0,8,2,3,1,10,7,4,1,5,2,36 to 50,Female,709.1
17,Logistics Coordinator,3,3,1,0,1,4,7,5,1,5,1,21 to 35,Female,585.5
18,Maintenance Technician,0,3,0,5,2,3,8,1,4,3,2,36 to 50,Male,619.5
19,Train Conductor,0,5,5,6,2,6,9,5,2,0,2,Less than 20,Female,635.6
